Function	Provider	MEASURE	Measure	LOCATION	Country	Year	Unit Code	Unit	Value
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.661
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.667
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.793
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.788
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.832
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.827
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.835
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.82
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.786
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.147
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.164
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.153
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.154
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.159
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.167
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.167
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.421
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.39
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.409
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.394
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.4
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.419
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.468
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.446
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.456
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.14
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.137
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.139
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.141
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.14
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.146
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.148
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.145
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.146
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.041
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.038
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.034
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.031
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.031
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.033
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.032
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.032
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.032
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2013	PC	Percentage	0.005
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2014	PC	Percentage	0.005
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2015	PC	Percentage	0.005
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2016	PC	Percentage	0.005
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2017	PC	Percentage	0.005
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.594
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.59
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.639
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.649
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.664
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.669
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.635
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.504
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.512
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.52
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.531
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.553
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.569
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.558
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	7.539
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	7.369
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	7.371
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	7.284
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	7.157
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	7.497
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	7.58
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	7.446
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	7.479
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	2.012
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	1.961
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	1.965
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	1.936
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	1.89
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	1.934
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	1.921
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	1.881
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	1.888
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	1.574
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	1.561
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	1.581
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	1.565
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	1.562
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	1.613
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	1.598
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.738
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.729
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.702
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.689
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.674
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.74
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.759
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.002
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2013	PC	Percentage	0.171
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2014	PC	Percentage	0.172
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2015	PC	Percentage	0.169
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2016	PC	Percentage	0.169
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2017	PC	Percentage	0.171
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.002
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.003
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.006
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.008
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.007
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.009
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.009
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.15
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.169
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.16
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.163
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.168
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.177
Preventive care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.177
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	1.952
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	1.932
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	1.933
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	1.929
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	1.904
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	2.008
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	2.049
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	2.019
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	2.017
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	1.625
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	1.507
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	1.493
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	1.467
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	1.448
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	1.509
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	1.608
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	1.599
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	1.617
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.001
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.001
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2013	PC	Percentage	0.111
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2014	PC	Percentage	0.11
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2015	PC	Percentage	0.111
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2016	PC	Percentage	0.109
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2017	PC	Percentage	0.106
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	2.716
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	2.767
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	2.836
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	2.869
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	2.961
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	3.059
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	2.997
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.617
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.607
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.618
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.623
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.63
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.652
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.666
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.658
Preventive care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.664
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.004
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.002
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.007
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.006
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.007
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.005
Long-term care (health)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.005
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2013	PC	Percentage	2.076
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2014	PC	Percentage	2.07
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2015	PC	Percentage	2.11
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2016	PC	Percentage	2.127
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2017	PC	Percentage	2.128
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2010	PC	Percentage	0.826
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2011	PC	Percentage	0.828
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2012	PC	Percentage	0.805
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2013	PC	Percentage	1.468
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2014	PC	Percentage	1.461
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2015	PC	Percentage	1.465
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2016	PC	Percentage	1.503
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	GBR	United Kingdom	2017	PC	Percentage	1.537
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.05
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.047
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	0.046
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	0.048
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	0.048
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	0.047
Ancillary services (non-specified by function)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	0.046
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	5.787
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	5.912
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	5.859
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	5.917
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	6.088
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	6.353
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	6.308
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2017	PC	Percentage	6.344
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2018	PC	Percentage	6.408
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2010	PC	Percentage	0.979
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2011	PC	Percentage	0.992
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2012	PC	Percentage	1.087
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2013	PC	Percentage	1.115
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2014	PC	Percentage	1.183
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2015	PC	Percentage	1.196
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	AUS	Australia	2016	PC	Percentage	1.202
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	2.87
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	2.812
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	2.846
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	2.831
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	2.813
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	2.97
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	3.072
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	3.021
Outpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	3.043
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	0.615
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	0.593
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	0.598
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	0.589
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	0.579
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	0.62
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	0.626
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	0.617
Medical goods (non-specified by function)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	0.623
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	1.831
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	1.786
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	1.792
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	1.764
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	1.72
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	1.755
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2016	PC	Percentage	1.741
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2017	PC	Percentage	1.705
Inpatient curative and rehabilitative care	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2018	PC	Percentage	1.71
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2010	PC	Percentage	1.565
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2011	PC	Percentage	1.527
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2012	PC	Percentage	1.539
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2013	PC	Percentage	1.536
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2014	PC	Percentage	1.515
Current expenditure on health (all functions)	All providers	PARPIB	Share of gross domestic product	CAN	Canada	2015	PC	Percentage	1.578
