Financing scheme;Function;Provider;MEASURE;Measure;Country;Year;Value
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Ireland;2017;7.185
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Ireland;2018;7.095
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2010;6.419
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2011;6.234
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2012;6.201
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2013;6.375
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2014;6.246
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2015;6.34
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2016;6.507
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2017;6.542
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Poland;2018;6.288
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2010;10.699
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2011;10.769
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2012;11.058
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2013;11.314
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2014;11.494
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2015;11.884
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2016;12.221
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2017;12.346
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Switzerland;2018;12.183
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2010;10.155
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2011;10.234
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2012;10.539
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2013;10.584
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2014;10.567
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2015;10.324
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2016;10.301
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2017;10.101
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Netherlands;2018;9.941
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2010;8.532
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2011;8.251
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2012;8.195
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2013;8.221
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2014;8.279
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2015;8.131
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2016;8.165
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2017;8.325
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Iceland;2018;8.34
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2010;8.877
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2011;8.958
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2012;9.302
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2013;9.505
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2014;9.493
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2015;9.704
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2016;9.428
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2017;9.207
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Finland;2018;9.075
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2010;9.588
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2011;9.51
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2012;9.652
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2013;9.366
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2014;9.424
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2015;9.328
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2016;9.292
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2017;9.145
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;New Zealand;2018;9.341
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2010;7.945
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2011;7.788
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2012;7.736
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2013;7.977
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2014;8.396
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2015;8.87
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Brazil;2016;9.204
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2010;4.194
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2011;4.309
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2012;4.57
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2013;4.742
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2014;4.817
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2015;4.982
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;China;2016;5.019
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2010;6.276
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2011;5.813
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2012;5.671
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2013;7.497
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2014;7.203
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2015;7.363
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2016;7.214
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Colombia;2017;7.226
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2010;8.113
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2011;8.208
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2012;7.909
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2013;7.865
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2014;7.88
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2015;7.823
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Costa Rica;2016;7.531
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2010;3.375
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2011;3.246
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2012;3.329
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2013;3.749
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2014;3.62
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2015;3.561
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;India;2016;3.621
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2010;2.961
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2011;2.955
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2012;2.903
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2013;2.961
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2014;3.117
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2015;3.005
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Indonesia;2016;3.126
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2010;4.945
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2011;4.782
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2012;4.932
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2013;5.071
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2014;5.284
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2015;5.287
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;Russia;2016;5.263
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2010;7.415
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2011;7.497
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2012;7.753
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2013;7.721
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2014;7.93
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2015;8.201
All financing schemes;Current expenditure on health (all functions);All providers;PARPIB;Share of gross domestic product;South Africa;2016;8.094
