Health_condition,Measure,Country,Year,Value,,
Pneumonia,Number of total deaths,Finland,2016,151,,
Diseases of the respiratory system,Number of total deaths,Germany,2016,64414,,
Influenza,Number of total deaths,Germany,2016,277,,
Pneumonia,Number of total deaths,Germany,2016,18705,,
Diseases of the respiratory system,Number of total deaths,Greece,2016,13809,,
Influenza,Number of total deaths,Greece,2016,135,,
Pneumonia,Number of total deaths,Greece,2016,1166,,
Diseases of the respiratory system,Number of total deaths,Hungary,2016,7205,,
Influenza,Number of total deaths,Hungary,2016,8,,
Pneumonia,Number of total deaths,Hungary,2016,998,,
Diseases of the respiratory system,Number of total deaths,Iceland,2016,190,,
Influenza,Number of total deaths,Iceland,2016,3,,
Pneumonia,Number of total deaths,Iceland,2016,65,,
Diseases of the respiratory system,Number of total deaths,Japan,2016,208603,,
Influenza,Number of total deaths,Japan,2016,1463,,
Pneumonia,Number of total deaths,Japan,2016,119300,,
Diseases of the respiratory system,Number of total deaths,Korea,2016,29404,,
Influenza,Number of total deaths,Korea,2016,222,,
Pneumonia,Number of total deaths,Korea,2016,16476,,
Diseases of the respiratory system,Number of total deaths,Luxembourg,2016,292,,
Influenza,Number of total deaths,Luxembourg,2016,3,,
Pneumonia,Number of total deaths,Luxembourg,2016,85,,
Diseases of the respiratory system,Number of total deaths,Mexico,2016,58323,,
Influenza,Number of total deaths,Mexico,2016,253,,
Pneumonia,Number of total deaths,Mexico,2016,20523,,
Diseases of the respiratory system,Number of total deaths,Netherlands,2016,11984,,
Influenza,Number of total deaths,Netherlands,2016,340,,
Pneumonia,Number of total deaths,Netherlands,2016,3130,,
Diseases of the respiratory system,Number of total deaths,Norway,2016,4342,,
Influenza,Number of total deaths,Norway,2016,67,,
Pneumonia,Number of total deaths,Norway,2016,1556,,
Diseases of the respiratory system,Number of total deaths,Poland,2016,23013,,
Influenza,Number of total deaths,Poland,2016,103,,
Pneumonia,Number of total deaths,Poland,2016,13323,,
Diseases of the respiratory system,Number of total deaths,Portugal,2016,13474,,
Influenza,Number of total deaths,Portugal,2016,123,,
Pneumonia,Number of total deaths,Portugal,2016,6006,,
Diseases of the respiratory system,Number of total deaths,Spain,2016,46812,,
Influenza,Number of total deaths,Spain,2016,647,,
Pneumonia,Number of total deaths,Spain,2016,9160,,
Diseases of the respiratory system,Number of total deaths,Sweden,2016,6251,,
Influenza,Number of total deaths,Sweden,2016,226,,
Pneumonia,Number of total deaths,Sweden,2016,1814,,
Diseases of the respiratory system,Number of total deaths,Switzerland,2016,4108,,
Influenza,Number of total deaths,Switzerland,2016,82,,
Pneumonia,Number of total deaths,Switzerland,2016,1190,,
Diseases of the respiratory system,Number of total deaths,Turkey,2016,49295,,
Influenza,Number of total deaths,Turkey,2016,346,,
Pneumonia,Number of total deaths,Turkey,2016,16821,,
Diseases of the respiratory system,Number of total deaths,United Kingdom,2016,81514,,
Influenza,Number of total deaths,United Kingdom,2016,395,,
Pneumonia,Number of total deaths,United Kingdom,2016,29615,,
Diseases of the respiratory system,Number of total deaths,United States,2016,266037,,
Influenza,Number of total deaths,United States,2016,2652,,
Pneumonia,Number of total deaths,United States,2016,48632,,
Diseases of the respiratory system,Number of total deaths,Chile,2016,9847,,
Influenza,Number of total deaths,Chile,2016,77,,
Pneumonia,Number of total deaths,Chile,2016,3166,,
Diseases of the respiratory system,Number of total deaths,Estonia,2016,549,,
Influenza,Number of total deaths,Estonia,2016,26,,
Pneumonia,Number of total deaths,Estonia,2016,240,,
Diseases of the respiratory system,Number of total deaths,Israel,2016,3521,,
Influenza,Number of total deaths,Israel,2016,65,,
Pneumonia,Number of total deaths,Israel,2016,1159,,
Influenza,Number of total deaths,Lithuania,2016,28,,
Pneumonia,Number of total deaths,Lithuania,2016,572,,
Pneumonia,Deaths per 100 000 males (standardised rates),Lithuania,2016,26.9,,
Pneumonia,Deaths per 100 000 females (standardised rates),Lithuania,2016,9.4,,
Pneumonia,Number of male deaths,Lithuania,2016,346,,
Influenza,Deaths per 100 000 females (standardised rates),Lithuania,2016,0.6,,
Diseases of the respiratory system,Deaths per 100 000 males (standardised rates),Lithuania,2016,66.9,,
Influenza,Number of male deaths,Lithuania,2016,17,,
Diseases of the respiratory system,Number of total deaths,Lithuania,2016,1292,,
Influenza,Number of female deaths,Lithuania,2016,11,,
Diseases of the respiratory system,Deaths per 100 000 females (standardised rates),Lithuania,2016,18.8,,
Diseases of the respiratory system,Number of male deaths,Lithuania,2016,836,,
Influenza,Deaths per 100 000 population (standardised rates),Lithuania,2016,0.9,,
Diseases of the respiratory system,Deaths per 100 000 population (standardised rates),Lithuania,2016,35.9,,
Pneumonia,Deaths per 100 000 population (standardised rates),Lithuania,2016,16.2,,
Diseases of the respiratory system,Number of female deaths,Lithuania,2016,456,,
Influenza,Deaths per 100 000 males (standardised rates),Lithuania,2016,1.2,,
Pneumonia,Number of female deaths,Lithuania,2016,226,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Norway,2016,78.6,,
Influenza,Deaths per 100 000 population (crude rates),Estonia,2016,2,,
Pneumonia,Deaths per 100 000 females (crude rates),Israel,2016,13.8,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),United States,2016,83,,
Influenza,Deaths per 100 000 males (crude rates),Netherlands,2016,1.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Switzerland,2016,45.6,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Iceland,2016,63.1,,
Pneumonia,Deaths per 100 000 females (crude rates),Chile,2016,17.7,,
Influenza,Deaths per 100 000 males (crude rates),Luxembourg,2016,0.4,,
Pneumonia,Deaths per 100 000 females (crude rates),Austria,2016,11.7,,
Influenza,Deaths per 100 000 population (crude rates),Belgium,2016,1,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Estonia,2016,53.8,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Netherlands,2016,69.1,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Israel,2016,41.2,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Czech Republic,2016,58.5,,
Influenza,Deaths per 100 000 males (crude rates),United States,2016,0.8,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Czech Republic,2016,67.5,,
Pneumonia,Deaths per 100 000 population (crude rates),Greece,2016,10.8,,
Pneumonia,Deaths per 100 000 males (crude rates),Korea,2016,33.4,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Spain,2016,114.8,,
Pneumonia,Deaths per 100 000 population (crude rates),Australia,2016,11.9,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Hungary,2016,83.7,,
Pneumonia,Deaths per 100 000 males (crude rates),Finland,2016,2.7,,
Pneumonia,Deaths per 100 000 population (crude rates),Turkey,2016,21.2,,
Influenza,Deaths per 100 000 population (crude rates),Spain,2016,1.4,,
Influenza,Deaths per 100 000 females (crude rates),Australia,2016,2.2,,
Pneumonia,Deaths per 100 000 females (crude rates),Portugal,2016,54.1,,
Pneumonia,Deaths per 100 000 females (crude rates),Czech Republic,2016,24.6,,
Influenza,Deaths per 100 000 males (crude rates),Poland,2016,0.4,,
Influenza,Deaths per 100 000 females (crude rates),Greece,2016,1.1,,
Pneumonia,Deaths per 100 000 males (crude rates),Sweden,2016,18.7,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Belgium,2016,107.1,,
Pneumonia,Deaths per 100 000 males (crude rates),Luxembourg,2016,15.2,,
Influenza,Deaths per 100 000 males (crude rates),Japan,2016,1.2,,
Pneumonia,Deaths per 100 000 males (crude rates),Poland,2016,39.2,,
Pneumonia,Deaths per 100 000 females (crude rates),Switzerland,2016,14.6,,
Influenza,Deaths per 100 000 males (crude rates),Korea,2016,0.4,,
Pneumonia,Deaths per 100 000 females (crude rates),Germany,2016,22,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Netherlands,2016,70.4,,
Influenza,Deaths per 100 000 females (crude rates),Portugal,2016,1.1,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Israel,2016,40.3,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),United Kingdom,2016,125.5,,
Pneumonia,Deaths per 100 000 males (crude rates),United States,2016,14.8,,
Influenza,Deaths per 100 000 males (crude rates),Sweden,2016,2.3,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Chile,2016,54.1,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Germany,2016,78.2,,
Influenza,Deaths per 100 000 population (crude rates),Norway,2016,1.3,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Switzerland,2016,49.1,,
Pneumonia,Deaths per 100 000 population (crude rates),Portugal,2016,58.2,,
Pneumonia,Deaths per 100 000 males (crude rates),Hungary,2016,10.7,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Japan,2016,194.7,,
Influenza,Deaths per 100 000 population (crude rates),Austria,2016,0.4,,
Pneumonia,Deaths per 100 000 females (crude rates),Netherlands,2016,19.1,,
Pneumonia,Deaths per 100 000 males (crude rates),Mexico,2016,19.4,,
Influenza,Deaths per 100 000 females (crude rates),Austria,2016,0.4,,
Influenza,Deaths per 100 000 population (crude rates),Australia,2016,1.9,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),United Kingdom,2016,122.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Japan,2016,135.6,,
Influenza,Deaths per 100 000 males (crude rates),Finland,2016,3.1,,
Influenza,Deaths per 100 000 population (crude rates),Greece,2016,1.3,,
Influenza,Deaths per 100 000 females (crude rates),Israel,2016,0.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Luxembourg,2016,55.1,,
Influenza,Deaths per 100 000 males (crude rates),Norway,2016,0.9,,
Influenza,Deaths per 100 000 females (crude rates),Germany,2016,0.3,,
Pneumonia,Deaths per 100 000 population (crude rates),Austria,2016,10.8,,
Influenza,Deaths per 100 000 females (crude rates),Turkey,2016,0.4,,
Pneumonia,Deaths per 100 000 population (crude rates),Israel,2016,13.6,,
Influenza,Deaths per 100 000 population (crude rates),Finland,2016,3.1,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Chile,2016,53.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Sweden,2016,65.8,,
Influenza,Deaths per 100 000 males (crude rates),Mexico,2016,0.2,,
Pneumonia,Deaths per 100 000 males (crude rates),Belgium,2016,34.2,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Finland,2016,47.1,,
Influenza,Deaths per 100 000 population (crude rates),Turkey,2016,0.4,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Luxembourg,2016,55.4,,
Pneumonia,Deaths per 100 000 males (crude rates),Norway,2016,26.1,,
Influenza,Deaths per 100 000 females (crude rates),Czech Republic,2016,0.9,,
Pneumonia,Deaths per 100 000 females (crude rates),Sweden,2016,17.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Hungary,2016,64,,
Pneumonia,Deaths per 100 000 population (crude rates),Czech Republic,2016,26.3,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Mexico,2016,43,,
Influenza,Deaths per 100 000 males (crude rates),Israel,2016,0.7,,
Pneumonia,Deaths per 100 000 males (crude rates),Estonia,2016,21.6,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Korea,2016,63.8,,
Influenza,Deaths per 100 000 males (crude rates),Hungary,2016,0.2,,
Influenza,Deaths per 100 000 males (crude rates),Spain,2016,1.5,,
Pneumonia,Deaths per 100 000 males (crude rates),Spain,2016,20.9,,
Influenza,Deaths per 100 000 females (crude rates),Switzerland,2016,1.1,,
Influenza,Deaths per 100 000 population (crude rates),Chile,2016,0.4,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),United States,2016,82.3,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Iceland,2016,56.6,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Estonia,2016,31.1,,
Pneumonia,Deaths per 100 000 population (crude rates),Luxembourg,2016,16.1,,
Influenza,Deaths per 100 000 population (crude rates),United States,2016,0.8,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Turkey,2016,52.7,,
Influenza,Deaths per 100 000 females (crude rates),Finland,2016,3.2,,
Pneumonia,Deaths per 100 000 population (crude rates),Japan,2016,94,,
Pneumonia,Deaths per 100 000 males (crude rates),Austria,2016,9.9,,
Influenza,Deaths per 100 000 population (crude rates),Iceland,2016,0.9,,
Pneumonia,Deaths per 100 000 population (crude rates),Chile,2016,17.4,,
Pneumonia,Deaths per 100 000 females (crude rates),Luxembourg,2016,17.1,,
Pneumonia,Deaths per 100 000 males (crude rates),United Kingdom,2016,41.5,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Sweden,2016,63,,
Pneumonia,Deaths per 100 000 males (crude rates),Greece,2016,11.2,,
Pneumonia,Deaths per 100 000 population (crude rates),Finland,2016,2.7,,
Influenza,Deaths per 100 000 females (crude rates),Korea,2016,0.5,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Belgium,2016,90.9,,
Pneumonia,Deaths per 100 000 females (crude rates),Mexico,2016,14.5,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Hungary,2016,73.4,,
Influenza,Deaths per 100 000 females (crude rates),Japan,2016,1.1,,
Influenza,Deaths per 100 000 males (crude rates),Turkey,2016,0.5,,
Influenza,Deaths per 100 000 males (crude rates),Belgium,2016,0.9,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Poland,2016,51,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Austria,2016,54,,
Pneumonia,Deaths per 100 000 population (crude rates),Netherlands,2016,18.4,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Portugal,2016,130.5,,
Pneumonia,Deaths per 100 000 males (crude rates),Portugal,2016,62.7,,
Pneumonia,Deaths per 100 000 females (crude rates),United Kingdom,2016,48.7,,
Influenza,Deaths per 100 000 females (crude rates),Poland,2016,0.2,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Mexico,2016,48,,
Pneumonia,Deaths per 100 000 females (crude rates),Spain,2016,18.6,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Greece,2016,126.8,,
Influenza,Deaths per 100 000 males (crude rates),Austria,2016,0.5,,
Influenza,Deaths per 100 000 males (crude rates),Australia,2016,1.5,,
Pneumonia,Deaths per 100 000 population (crude rates),Korea,2016,32.2,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Switzerland,2016,52.6,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Germany,2016,86,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Norway,2016,82.9,,
Pneumonia,Deaths per 100 000 population (crude rates),Sweden,2016,18.3,,
Pneumonia,Deaths per 100 000 females (crude rates),Poland,2016,31.2,,
Pneumonia,Deaths per 100 000 females (crude rates),Estonia,2016,15.3,,
Influenza,Deaths per 100 000 males (crude rates),Portugal,2016,1.3,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Belgium,2016,98.9,,
Pneumonia,Deaths per 100 000 population (crude rates),Iceland,2016,19.4,,
Influenza,Deaths per 100 000 population (crude rates),Japan,2016,1.2,,
Pneumonia,Deaths per 100 000 males (crude rates),Israel,2016,13.3,,
Influenza,Deaths per 100 000 females (crude rates),Mexico,2016,0.2,,
Pneumonia,Deaths per 100 000 females (crude rates),Hungary,2016,9.7,,
Pneumonia,Deaths per 100 000 population (crude rates),United States,2016,15,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Czech Republic,2016,76.7,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Portugal,2016,143.8,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Poland,2016,70.9,,
Influenza,Deaths per 100 000 population (crude rates),United Kingdom,2016,0.6,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Australia,2016,61.1,,
Influenza,Deaths per 100 000 females (crude rates),Norway,2016,1.7,,
Influenza,Deaths per 100 000 population (crude rates),Sweden,2016,2.3,,
Pneumonia,Deaths per 100 000 males (crude rates),Germany,2016,23.5,,
Pneumonia,Deaths per 100 000 population (crude rates),Norway,2016,29.7,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Chile,2016,54.3,,
Influenza,Deaths per 100 000 males (crude rates),Czech Republic,2016,1.2,,
Influenza,Deaths per 100 000 females (crude rates),Spain,2016,1.3,,
Influenza,Deaths per 100 000 population (crude rates),Luxembourg,2016,0.6,,
Pneumonia,Deaths per 100 000 males (crude rates),Netherlands,2016,17.6,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Austria,2016,49.6,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Korea,2016,57.4,,
Pneumonia,Deaths per 100 000 males (crude rates),Czech Republic,2016,28,,
Influenza,Deaths per 100 000 population (crude rates),Hungary,2016,0.1,,
Pneumonia,Deaths per 100 000 females (crude rates),Finland,2016,2.8,,
Pneumonia,Deaths per 100 000 females (crude rates),Greece,2016,10.4,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Mexico,2016,53.3,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Israel,2016,42.1,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Finland,2016,38.8,,
Pneumonia,Deaths per 100 000 population (crude rates),Belgium,2016,34.9,,
Influenza,Deaths per 100 000 females (crude rates),United Kingdom,2016,0.6,,
Influenza,Deaths per 100 000 population (crude rates),Netherlands,2016,2,,
Pneumonia,Deaths per 100 000 population (crude rates),Poland,2016,35.1,,
Influenza,Deaths per 100 000 males (crude rates),Greece,2016,1.4,,
Influenza,Deaths per 100 000 population (crude rates),Czech Republic,2016,1.1,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Australia,2016,60.1,,
Influenza,Deaths per 100 000 females (crude rates),United States,2016,0.8,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Norway,2016,87.3,,
Pneumonia,Deaths per 100 000 males (crude rates),Turkey,2016,21.6,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Spain,2016,100.7,,
Pneumonia,Deaths per 100 000 males (crude rates),Iceland,2016,17.7,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Austria,2016,45.4,,
Pneumonia,Deaths per 100 000 males (crude rates),Switzerland,2016,13.8,,
Influenza,Deaths per 100 000 females (crude rates),Estonia,2016,1.1,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Turkey,2016,62.2,,
Influenza,Deaths per 100 000 males (crude rates),United Kingdom,2016,0.6,,
Pneumonia,Deaths per 100 000 population (crude rates),Germany,2016,22.7,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Australia,2016,62.1,,
Pneumonia,Deaths per 100 000 females (crude rates),United States,2016,15.3,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Portugal,2016,118.5,,
Pneumonia,Deaths per 100 000 females (crude rates),Iceland,2016,21,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Greece,2016,129.6,,
Influenza,Deaths per 100 000 population (crude rates),Korea,2016,0.4,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Poland,2016,60.6,,
Pneumonia,Deaths per 100 000 population (crude rates),Switzerland,2016,14.2,,
Influenza,Deaths per 100 000 females (crude rates),Chile,2016,0.4,,
Influenza,Deaths per 100 000 males (crude rates),Germany,2016,0.4,,
Pneumonia,Deaths per 100 000 population (crude rates),Spain,2016,19.7,,
Pneumonia,Deaths per 100 000 females (crude rates),Japan,2016,82.3,,
Influenza,Deaths per 100 000 males (crude rates),Switzerland,2016,0.9,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Greece,2016,128.1,,
Pneumonia,Deaths per 100 000 females (crude rates),Korea,2016,30.9,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),United States,2016,81.5,,
Influenza,Deaths per 100 000 population (crude rates),Poland,2016,0.3,,
Pneumonia,Deaths per 100 000 females (crude rates),Australia,2016,13.4,,
Influenza,Deaths per 100 000 males (crude rates),Chile,2016,0.5,,
Influenza,Deaths per 100 000 males (crude rates),Estonia,2016,2.9,,
Influenza,Deaths per 100 000 population (crude rates),Germany,2016,0.3,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Turkey,2016,71.6,,
Influenza,Deaths per 100 000 females (crude rates),Netherlands,2016,2.1,,
Pneumonia,Deaths per 100 000 males (crude rates),Japan,2016,106.3,,
Influenza,Deaths per 100 000 population (crude rates),Switzerland,2016,1,,
Pneumonia,Deaths per 100 000 males (crude rates),Australia,2016,10.3,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Spain,2016,87.1,,
Influenza,Deaths per 100 000 females (crude rates),Luxembourg,2016,0.8,,
Influenza,Deaths per 100 000 females (crude rates),Sweden,2016,2.2,,
Pneumonia,Deaths per 100 000 males (crude rates),Chile,2016,17.1,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),United Kingdom,2016,124.2,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Netherlands,2016,71.7,,
Influenza,Deaths per 100 000 females (crude rates),Iceland,2016,1.8,,
Pneumonia,Deaths per 100 000 population (crude rates),Mexico,2016,16.9,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Estonia,2016,41.7,,
Pneumonia,Deaths per 100 000 females (crude rates),Belgium,2016,35.6,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Finland,2016,30.8,,
Influenza,Deaths per 100 000 population (crude rates),Israel,2016,0.8,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Japan,2016,164.3,,
Pneumonia,Deaths per 100 000 females (crude rates),Turkey,2016,20.8,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Korea,2016,50.9,,
Pneumonia,Deaths per 100 000 population (crude rates),Hungary,2016,10.2,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Sweden,2016,60.2,,
Influenza,Deaths per 100 000 population (crude rates),Portugal,2016,1.2,,
Influenza,Deaths per 100 000 population (crude rates),Mexico,2016,0.2,,
Pneumonia,Deaths per 100 000 population (crude rates),Estonia,2016,18.2,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Luxembourg,2016,55.8,,
Pneumonia,Deaths per 100 000 population (crude rates),United Kingdom,2016,45.1,,
Pneumonia,Deaths per 100 000 females (crude rates),Norway,2016,33.4,,
Influenza,Deaths per 100 000 females (crude rates),Belgium,2016,1.1,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Germany,2016,70.7,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Iceland,2016,50.3,,
Pneumonia,Deaths per 100 000 males (crude rates),Lithuania,2016,26.2,,
Influenza,Deaths per 100 000 females (crude rates),Lithuania,2016,0.7,,
Pneumonia,Deaths per 100 000 females (crude rates),Lithuania,2016,14.6,,
Diseases of the respiratory system,Deaths per 100 000 males (crude rates),Lithuania,2016,63.3,,
Diseases of the respiratory system,Deaths per 100 000 females (crude rates),Lithuania,2016,29.5,,
Influenza,Deaths per 100 000 population (crude rates),Lithuania,2016,1,,
Influenza,Deaths per 100 000 males (crude rates),Lithuania,2016,1.3,,
Diseases of the respiratory system,Deaths per 100 000 population (crude rates),Lithuania,2016,45,,
Pneumonia,Deaths per 100 000 population (crude rates),Lithuania,2016,19.9,,
